Passo101: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532389.2537053
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo102: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1745532389.3109126
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo103: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1745532391.2694466
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo104: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532391.5530279
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo105: [False, False, True, True, True] | Valor do passo: 7 | timestamp: 1745532391.6510952
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo106: [False, False, False, True, True] | Valor do passo: 3 | timestamp: 1745532394.0650356
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo107: [False, False, False, False, True] | Valor do passo: 1 | timestamp: 1745532394.110195
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo108: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532394.2664046
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo109: [True, False, True, False, True] | Valor do passo: 21 | timestamp: 1745532399.2228796
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo110: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532399.7914233
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo111: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532404.9622142
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo112: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1745532407.9261026
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo113: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1745532409.8812447
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo114: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532412.184327
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo115: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532412.3406222
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo116: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532412.6117163
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo117: [False, False, True, False, False] | Valor do passo: 4 | timestamp: 1745532414.6790762
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo118: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532419.8783321
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo119: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532421.7939196
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo120: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532424.6382773
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo121: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1745532424.8517427
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo122: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1745532426.672542
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo123: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532426.8973706
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo124: [False, False, True, True, True] | Valor do passo: 7 | timestamp: 1745532427.036564
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo125: [False, False, False, True, True] | Valor do passo: 3 | timestamp: 1745532429.572292
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo126: [False, False, False, False, True] | Valor do passo: 1 | timestamp: 1745532429.632363
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
